,id,date,variable,value
0,AS14.01,2014-02-17,call,2.0
1,AS14.01,2014-02-18,call,1.0
2,AS14.01,2014-02-19,call,7.0
3,AS14.01,2014-02-19,sms,2.0
4,AS14.01,2014-02-20,call,2.0
5,AS14.01,2014-02-20,sms,3.0
6,AS14.01,2014-02-21,sms,1.0
7,AS14.01,2014-02-22,call,2.0
8,AS14.01,2014-02-22,sms,1.0
9,AS14.01,2014-02-25,call,3.0
10,AS14.01,2014-02-26,mood,6.25
11,AS14.01,2014-02-26,circumplex.arousal,-0.25
12,AS14.01,2014-02-26,circumplex.valence,0.75
13,AS14.01,2014-02-26,call,1.0
14,AS14.01,2014-02-26,sms,2.0
15,AS14.01,2014-02-27,mood,6.333333333333333
16,AS14.01,2014-02-27,circumplex.arousal,0.0
17,AS14.01,2014-02-27,circumplex.valence,0.3333333333333333
18,AS14.01,2014-02-28,call,4.0
19,AS14.01,2014-03-01,sms,1.0
20,AS14.01,2014-03-03,call,1.0
21,AS14.01,2014-03-05,call,1.0
22,AS14.01,2014-03-06,call,1.0
23,AS14.01,2014-03-07,call,5.0
24,AS14.01,2014-03-10,call,1.0
25,AS14.01,2014-03-11,call,3.0
26,AS14.01,2014-03-12,call,7.0
27,AS14.01,2014-03-12,sms,1.0
28,AS14.01,2014-03-13,call,4.0
29,AS14.01,2014-03-14,call,3.0
30,AS14.01,2014-03-14,sms,1.0
31,AS14.01,2014-03-15,sms,1.0
32,AS14.01,2014-03-16,sms,3.0
33,AS14.01,2014-03-17,sms,1.0
34,AS14.01,2014-03-18,call,1.0
35,AS14.01,2014-03-18,sms,2.0
36,AS14.01,2014-03-19,call,1.0
37,AS14.01,2014-03-20,activity,0.1630952380952381
38,AS14.01,2014-03-20,screen,2275.9440002441406
39,AS14.01,2014-03-20,call,1.0
40,AS14.01,2014-03-20,appCat.builtin,248.979
41,AS14.01,2014-03-20,appCat.communication,2168.229
42,AS14.01,2014-03-20,appCat.entertainment,350.856
43,AS14.01,2014-03-20,appCat.other,11.345
44,AS14.01,2014-03-20,appCat.social,807.731
45,AS14.01,2014-03-20,appCat.unknown,45.173
46,AS14.01,2014-03-20,appCat.utilities,21.073999999999998
47,AS14.01,2014-03-21,mood,6.2
48,AS14.01,2014-03-21,circumplex.arousal,0.2
49,AS14.01,2014-03-21,circumplex.valence,0.2
50,AS14.01,2014-03-21,activity,3.0831523917559385
51,AS14.01,2014-03-21,screen,17978.90700006484
52,AS14.01,2014-03-21,call,6.0
53,AS14.01,2014-03-21,appCat.builtin,3139.2180000000008
54,AS14.01,2014-03-21,appCat.communication,6280.890000000003
55,AS14.01,2014-03-21,appCat.entertainment,1007.456
56,AS14.01,2014-03-21,appCat.finance,49.544000000000004
57,AS14.01,2014-03-21,appCat.office,172.20600000000002
58,AS14.01,2014-03-21,appCat.other,239.75100000000003
59,AS14.01,2014-03-21,appCat.social,4508.500000000001
60,AS14.01,2014-03-21,appCat.travel,915.4450000000002
61,AS14.01,2014-03-21,appCat.utilities,598.7539999999999
62,AS14.01,2014-03-22,mood,6.4
63,AS14.01,2014-03-22,circumplex.arousal,0.6
64,AS14.01,2014-03-22,circumplex.valence,0.5
65,AS14.01,2014-03-22,activity,3.79008350783933
66,AS14.01,2014-03-22,screen,6142.160999536513
67,AS14.01,2014-03-22,call,3.0
68,AS14.01,2014-03-22,sms,1.0
69,AS14.01,2014-03-22,appCat.builtin,731.4290000000001
70,AS14.01,2014-03-22,appCat.communication,4962.9180000000015
71,AS14.01,2014-03-22,appCat.entertainment,93.324
72,AS14.01,2014-03-22,appCat.finance,21.076
73,AS14.01,2014-03-22,appCat.other,98.14300000000001
74,AS14.01,2014-03-22,appCat.social,439.6319999999999
75,AS14.01,2014-03-22,appCat.travel,37.305
76,AS14.01,2014-03-22,appCat.utilities,117.62100000000001
77,AS14.01,2014-03-23,mood,6.8
78,AS14.01,2014-03-23,circumplex.arousal,0.2
79,AS14.01,2014-03-23,circumplex.valence,0.8
80,AS14.01,2014-03-23,activity,2.141116737075955
81,AS14.01,2014-03-23,screen,6773.832001447676
82,AS14.01,2014-03-23,appCat.builtin,1286.246
83,AS14.01,2014-03-23,appCat.communication,5237.318999999999
84,AS14.01,2014-03-23,appCat.entertainment,94.346
85,AS14.01,2014-03-23,appCat.finance,43.403000000000006
86,AS14.01,2014-03-23,appCat.other,72.82300000000001
87,AS14.01,2014-03-23,appCat.social,900.8389999999999
88,AS14.01,2014-03-23,appCat.utilities,30.086
89,AS14.01,2014-03-23,appCat.weather,30.386
90,AS14.01,2014-03-24,mood,6.0
91,AS14.01,2014-03-24,circumplex.arousal,0.8
92,AS14.01,2014-03-24,circumplex.valence,0.0
93,AS14.01,2014-03-24,activity,1.8950653467743515
94,AS14.01,2014-03-24,screen,15047.351000547404
95,AS14.01,2014-03-24,call,10.0
96,AS14.01,2014-03-24,appCat.builtin,866.9559999999996
97,AS14.01,2014-03-24,appCat.communication,9270.628999999999
98,AS14.01,2014-03-24,appCat.entertainment,976.971
99,AS14.01,2014-03-24,appCat.finance,34.106
100,AS14.01,2014-03-24,appCat.office,3.01
101,AS14.01,2014-03-24,appCat.other,66.55799999999999
102,AS14.01,2014-03-24,appCat.social,3223.6259999999993
103,AS14.01,2014-03-24,appCat.travel,419.805
104,AS14.01,2014-03-24,appCat.utilities,178.732
105,AS14.01,2014-03-25,mood,6.75
106,AS14.01,2014-03-25,circumplex.arousal,0.5
107,AS14.01,2014-03-25,circumplex.valence,0.5
108,AS14.01,2014-03-25,activity,2.360978697372162
109,AS14.01,2014-03-25,screen,21475.354999065392
110,AS14.01,2014-03-25,sms,1.0
111,AS14.01,2014-03-25,appCat.builtin,1032.7680000000003
112,AS14.01,2014-03-25,appCat.communication,10276.750999999998
113,AS14.01,2014-03-25,appCat.entertainment,68.206
114,AS14.01,2014-03-25,appCat.finance,43.053999999999995
115,AS14.01,2014-03-25,appCat.other,178.81900000000002
116,AS14.01,2014-03-25,appCat.social,1919.4709999999998
117,AS14.01,2014-03-25,appCat.unknown,235.223
118,AS14.01,2014-03-25,appCat.utilities,222.893
119,AS14.01,2014-03-26,mood,6.6
120,AS14.01,2014-03-26,circumplex.arousal,-0.2
121,AS14.01,2014-03-26,circumplex.valence,0.6
122,AS14.01,2014-03-26,activity,2.4313997200818225
123,AS14.01,2014-03-26,screen,16423.801000356674
124,AS14.01,2014-03-26,appCat.builtin,1167.4969999999996
125,AS14.01,2014-03-26,appCat.communication,8988.753
126,AS14.01,2014-03-26,appCat.entertainment,910.4789999999999
127,AS14.01,2014-03-26,appCat.finance,52.331
128,AS14.01,2014-03-26,appCat.other,97.498
129,AS14.01,2014-03-26,appCat.social,4592.058999999999
130,AS14.01,2014-03-26,appCat.utilities,33.365
131,AS14.01,2014-03-27,mood,7.0
132,AS14.01,2014-03-27,circumplex.arousal,0.2
133,AS14.01,2014-03-27,circumplex.valence,0.8
134,AS14.01,2014-03-27,activity,3.509234101320145
135,AS14.01,2014-03-27,screen,17442.14999938011
136,AS14.01,2014-03-27,call,2.0
137,AS14.01,2014-03-27,sms,1.0
138,AS14.01,2014-03-27,appCat.builtin,1229.3269999999998
139,AS14.01,2014-03-27,appCat.communication,6936.512000000001
140,AS14.01,2014-03-27,appCat.entertainment,639.3389999999999
141,AS14.01,2014-03-27,appCat.finance,42.218999999999994
